"musa2011wiflow","WiFlow: Real time travel time estimation using Wi-Fi monitors"
"demir2014analysing","Analysing the privacy policies of Wi-Fi trackers"
"campbell2008transforming","Transforming the social networking experience with sensing presence from mobile phones"
"venerandi2015measuring","Measuring urban deprivation from user generated content"
"nam2011conceptualizing","Conceptualizing smart city with dimensions of technology, people, and institutions"
"gariazzo2019spatio","Spatiotemporal analysis of urban mobility using aggregate mobile phone derived presence and demographic data: A case study in the city of rome, italy"
"abedi2013bluetooth","Bluetooth and Wi-Fi mac address based crowd data collection and monitoring: Benefits, challenges and enhancement"
"xu2013pedestrian","Pedestrain monitoring system using Wi-Fi technology and rssi based localization"
"lane2010survey","A survey of mobile phone sensing"
"lansley2016deriving","Deriving age and gender from forenames for consumer analytics"
"hong2018crowdprobe","CrowdProbe: Non-invasive crowd monitoring with Wi-Fi probe"
"konto2017","Urban phenology: Toward a real-time census of the city using Wi-Fi data"
"ieee2016","IEEE standard for information technology-telecommunications and information exchange between systems local and metropolitan area networks-specific requirements - part 11: Wireless LAN medium access control (MAC) and physical layer (PHY) specifications"
"martin2017","A study of mac address randomization in mobile devices and when it fails"
"martin2015developing","Developing a flexible framework for spatiotemporal population modeling"
"lloyd2018","Detecting address uncertainty in loyalty card data"
"torrens2008wifi","Wi-fi geographies"
"heppenstall2011agent","Agent-based models of geographical systems"
"massam1975location","Location and space in social administration"
"cdrc2018consumer","Consumer data research"
"amin2017seeing","Seeing like a city"
"bala2018clicker","Clicker - an Android app for counting pedestrian footfalls with accuracy"
"wireshark2","Wireshark - network protocol analyzer"
"sss2016","Smart street sensor project"
"freudinger2015","How talkative is your mobile device?: An experimental study of Wi-Fi probe requests"
"lugomer2017understanding","Understanding sources of measurement error in the wi-fi sensor data in the smart city"
"cdrcbook","Movements in cities: Footfall and its spatio-temporal distribution"
"kandappu2018obfuscation","Obfuscation at-source: Privacy in context-aware mobile crowd-sourcing"
"d2018role","The role of urban mobility in retail business survival"
"singleton2017urban","Urban analytics"
"atkinson2018your","Your wifi is leaking: What do your mobile apps gossip about you?"
"dinesh2017device","Device-location estimation based on rssi measurements over wifi and bluetooth"
"martinez2018measuring","Measuring and exploiting the impact of exhibition scheduling on museum attendance"
"sruthi2019iot","IOT based real time people counting system for smart buildings"
"deng2018improved","An improved heuristic drift elimination method for indoor pedestrian positioning"
"yucel2017measuring","Measuring benefits, drawbacks and risks of smart community wireless platforms"
"mccormack2017system","System and method for determining demographic information"
"arhipova2018pattern","Pattern identification by factor analysis for regions with similar economic activity based on mobile communication data"
"jia2019selecting","Selecting critical wifi aps for indoor localization based on a theoretical error analysis"
"kaur2019handbook","Handbook of research on big data and the iot"
"guzman2018statistical","A statistical approach for studying urban human dynamics"
"nikitin2019developing","Developing wlan-based intelligent positioning system for presence detection with limited sensors"
"haakegaard2018statistical","Statistical modelling for estimation of od matrices for public transport using wi-fi and apc data"
"chen2018fine","Fine-grained prediction of urban population using mobile phone location data"
"shu2017mobile","When mobile crowd sensing meets traditional industry"
"crols2019","Quantifying the ambient population using hourly population footfall data and an agent-based model of daily mobility"
"ng2017footfall","Footfall count estimation techniques using mobile data"
"zhang2019new","A new method for traffic forecasting in urban wireless communication network"
"klimek2019towards","Towards recognising individual behaviours from pervasive mobile datasets in urban spaces"
"zhang2018exploring","Exploring urban spatial hotspots’ properties using inter-connected user-location networks"
"vajakas2018mobility","Mobility episode discovery in the mobile networks based on enhanced switching kalman filter"
"kulshrestha2019real","Real-time crowd monitoring using seamless indoor-outdoor localization"
"taylor2019investigating","Investigating and validating methods of monitoring foot-traffic in night-time entertainment precincts in australia"
"lamberg2018alternative","An alternative roaming model inLoRaWAN"
"waltari2018quantifying","Quantifying the information leak in ieee 802.11 network discovery"
"tranos20188","8 mobile phone operators, their (big) data and urban analysis"
"andion2018smart","Smart behavioral analytics over a low-cost iot wi-fi tracking real deployment"
"roy2018indoor","Indoor localization for smart-handhelds with stable set of wireless access points"
"wismans2017comparison","Comparison of interpolation techniques for state estimation on urban networks"
"dai2019combination","Combination of dnn and improved knn for indoor location fingerprinting"
"mcmeel2018dark","The dark web of urban data: Fitness data ecosystems, urban design and privacy in the modern city"
"shibata2019","People crowd density estimation system using deep learning for radio wave sensing of cellular communication"
"becker1tracking","Tracking anonymized bluetooth devices"
"lin2018new","A new perspective of environmental behaviour study: A brief introduction of wi-fi indoor positioning system"
"jiameasuring","Measuring the vibrancy of urban neighborhoods using mobile phone data with an improved pagerank algorithm"
"rossi2015spatio","Spatio-temporal techniques for user identification by means of gps mobility data"
"zhu2018digital","Digital urban sensing: A multi-layered approach"
"adamsky2018wlan","WLAN device fingerprinting using channel state information (csi)"
"han2018preventing","Preventing wi-fi privacy leakage: A user behavioral similarity approach"
"roy2018smartphone","Smartphone based indoor localization using stable access points"
"cutter2003gi","GI science, disasters, and emergency management"
