    114 "000764","1350"
    165 "000764","1355"
    171 "000764","1400"
    173 "000764","1405"
    134 "000764","1410"
     96 "000764","1415"
    121 "000764","1420"
     90 "000764","1425"
     66 "000764","1430"
     82 "000764","1435"
    136 "000764","1440"
    105 "000764","1445"
     73 "000764","1450"
     54 "000764","1455"
     63 "000764","1500"
     80 "000764","1505"
     69 "000764","1510"
     43 "000764","1515"
     40 "000764","1520"
     58 "000764","1525"
     57 "000764","1530"
     58 "000764","1535"
     73 "000764","1540"
     55 "000764","1545"
    110 "000764","1550"
     52 "000764","1555"
     60 "000764","1600"
     80 "000764","1605"
     90 "000764","1610"
    102 "000764","1615"
    112 "000764","1620"
     58 "000764","1625"
     97 "000764","1630"
     72 "000764","1635"
     79 "000764","1640"
     78 "000764","1645"
     90 "000764","1650"
     68 "000764","1655"
     64 "000764","1700"
    108 "000764","1705"
    124 "000764","1710"
    100 "000764","1715"
    139 "000764","1720"
    149 "000764","1725"
    171 "000764","1730"
    151 "000764","1735"
    157 "000764","1740"
    102 "000764","1745"
     85 "000764","1750"
     50 "000764","1755"
     42 "000764","1810"
     53 "000764","1815"
     42 "000764","1820"
     32 "000764","1825"
     35 "000764","1830"
     42 "000764","1835"
     72 "000764","1840"
     32 "000764","1845"
     30 "000764","1850"
     65 "000764","1855"
     61 "000764","1900"
     48 "000764","1905"
     38 "000764","1910"
     42 "000764","1915"
     21 "000764","1920"
     43 "000764","1925"
     35 "000764","1930"
     34 "000764","1935"
     29 "000764","1940"
     36 "000764","1945"
     41 "000764","1950"
     40 "000764","1955"
     31 "000764","2000"
     24 "000764","2005"
     31 "000764","2010"
     39 "000764","2015"
     30 "000764","2020"
     21 "000764","2025"
     26 "000764","2030"
     23 "000764","2035"
     41 "000764","2040"
     20 "000764","2045"
     32 "000764","2050"
     38 "000764","2055"
     41 "000764","2100"
     16 "000764","2105"
     24 "000764","2110"
     45 "000764","2115"
     28 "000764","2120"
     25 "000764","2125"
     22 "000764","2130"
     24 "000764","2135"
     29 "000764","2140"
     32 "000764","2145"
     50 "000764","2150"
     46 "000764","2155"
     63 "000764","2200"
     52 "000764","2205"
     38 "000764","2210"
     26 "000764","2215"
     20 "000764","2220"
     36 "000764","2225"
     14 "000764","2230"
     20 "000764","2235"
     19 "000764","2240"
     25 "000764","2245"
     26 "000764","2250"
     11 "000764","2255"
     12 "000764","2300"
     17 "000764","2305"
     15 "000764","2310"
      9 "000764","2315"
     39 "000764","2320"
     45 "000764","2325"
     13 "000764","2330"
     33 "000764","2335"
     17 "000764","2340"
      9 "000764","2345"
     14 "000764","2350"
     12 "000764","2355"
