      9 "000774","1735"
      6 "000774","1740"
      9 "000774","1745"
      7 "000774","1750"
      6 "000774","1755"
      6 "000774","1800"
      8 "000774","1805"
      5 "000774","1810"
     17 "000774","1815"
     12 "000774","1820"
      4 "000774","1825"
      7 "000774","1830"
      8 "000774","1835"
      7 "000774","1840"
      6 "000774","1845"
      6 "000774","1850"
      6 "000774","1855"
      5 "000774","1900"
     13 "000774","1905"
      8 "000774","1910"
      5 "000774","1915"
      7 "000774","1920"
      6 "000774","1925"
     11 "000774","1930"
      5 "000774","1935"
      5 "000774","1940"
      8 "000774","1945"
      6 "000774","1950"
      5 "000774","2010"
      4 "000774","2015"
      5 "000774","2020"
     11 "000774","2025"
      8 "000774","2030"
      7 "000774","2035"
      4 "000779","0010"
      3 "000779","0015"
      8 "000779","0020"
      4 "000779","0025"
      5 "000779","0030"
      2 "000779","0035"
      6 "000779","0040"
      2 "000779","0045"
      5 "000779","0050"
      1 "000779","0055"
      5 "000779","0100"
      3 "000779","0105"
      5 "000779","0110"
      5 "000779","0115"
      3 "000779","0120"
      3 "000779","0125"
      3 "000779","0130"
      5 "000779","0135"
      4 "000779","0140"
      3 "000779","0145"
      2 "000779","0150"
      5 "000779","0155"
      4 "000779","0200"
      3 "000779","0205"
      5 "000779","0210"
      4 "000779","0215"
      4 "000779","0220"
      3 "000779","0225"
      5 "000779","0230"
      3 "000779","0235"
      4 "000779","0240"
      4 "000779","0245"
      5 "000779","0250"
      7 "000779","0255"
      4 "000779","0300"
      5 "000779","0305"
      4 "000779","0310"
      5 "000779","0315"
      4 "000779","0320"
      4 "000779","0325"
      4 "000779","0330"
      4 "000779","0335"
      5 "000779","0340"
      6 "000779","0345"
      4 "000779","0350"
      3 "000779","0355"
      5 "000779","0410"
      6 "000779","0415"
      7 "000779","0420"
      4 "000779","0425"
      3 "000779","0430"
      5 "000779","0435"
      3 "000779","0440"
      4 "000779","0445"
      4 "000779","0450"
      5 "000779","0455"
      4 "000779","0500"
      4 "000779","0505"
      4 "000779","0510"
      4 "000779","0515"
      4 "000779","0520"
      3 "000779","0525"
      4 "000779","0530"
      6 "000779","0535"
      5 "000779","0540"
      5 "000779","0545"
      4 "000779","0550"
      4 "000779","0555"
      2 "000779","0600"
      4 "000779","0605"
      6 "000779","0610"
      4 "000779","0615"
      3 "000779","0620"
      5 "000779","0625"
      6 "000779","0630"
      2 "000779","0635"
      3 "000779","0640"
      3 "000779","0645"
      5 "000779","0650"
      3 "000779","0655"
      3 "000779","0700"
      3 "000779","0705"
      5 "000779","0710"
      3 "000779","0715"
      4 "000779","0720"
      4 "000779","0725"
      3 "000779","0730"
      3 "000779","0735"
      3 "000779","0740"
      4 "000779","0745"
      9 "000779","0750"
      5 "000779","0755"
      4 "000779","0800"
      3 "000779","0805"
      6 "000779","0810"
      4 "000779","0815"
      4 "000779","0820"
      7 "000779","0825"
     15 "000779","0830"
      4 "000779","0835"
      8 "000779","0840"
      6 "000779","0845"
      3 "000779","0850"
      5 "000779","0855"
      6 "000779","0910"
