2016-12-26,369,90
2016-12-27,428,105
2016-12-28,459,108
2016-12-29,466,107
2016-12-30,470,108
2016-12-31,422,98
2017-01-01,276,51
2017-01-02,373,78
2017-01-03,427,85
2017-01-04,433,84
2017-01-05,442,85
2017-01-06,436,89
2017-01-07,446,100
2017-01-08,325,67
2017-01-09,394,77
2017-01-10,410,84
2017-01-11,419,85
2017-01-12,412,82
2017-01-13,437,94
2017-01-14,447,107
2017-01-15,323,68
2017-01-16,407,81
2017-01-17,432,88
2017-01-18,443,93
2017-01-19,442,94
2017-01-20,455,103
2017-01-21,458,111
2017-01-22,340,73
2017-01-23,413,85
2017-01-24,423,92
2017-01-25,431,92
2017-01-26,431,92
2017-01-27,462,107
2017-01-28,457,117
2017-01-29,337,75
2017-01-30,410,89
2017-01-31,420,91
2017-02-01,419,95
2017-02-02,433,98
2017-02-03,454,106
2017-02-04,471,121
2017-02-05,345,78
2017-02-06,410,86
2017-02-07,430,94
2017-02-08,439,95
2017-02-09,446,95
2017-02-10,468,103
2017-02-11,463,111
2017-02-12,348,75
2017-02-13,461,103
2017-02-14,469,110
2017-02-15,455,102
2017-02-16,456,105
2017-02-17,484,115
2017-02-18,481,118
2017-02-19,350,77
2017-02-20,437,97
2017-02-21,442,99
2017-02-22,448,101
2017-02-23,445,100
2017-02-24,501,120
2017-02-25,480,119
2017-02-26,356,77
2017-02-27,429,85
2017-02-28,453,96
2017-03-01,464,101
2017-03-02,465,106
2017-03-03,463,109
2017-03-04,491,126
2017-03-05,343,78
2017-03-06,436,96
2017-03-07,466,105
2017-03-08,473,108
2017-03-09,490,116
2017-03-10,519,125
2017-03-11,525,137
2017-03-12,372,87
2017-03-13,469,105
2017-03-14,486,109
2017-03-15,481,116
2017-03-16,488,115
2017-03-17,507,125
2017-03-18,520,137
2017-03-19,379,90
2017-03-20,450,98
2017-03-21,482,109
2017-03-22,478,108
2017-03-23,498,119
2017-03-24,518,131
2017-03-25,546,149
2017-03-26,385,90
2017-03-27,469,106
2017-03-28,493,111
2017-03-29,483,114
2017-03-30,495,122
2017-03-31,526,135
2017-04-01,528,144
2017-04-02,394,97
2017-04-03,489,117
2017-04-04,498,119
2017-04-05,516,126
2017-04-06,521,133
2017-04-07,540,140
2017-04-08,535,141
2017-04-09,406,98
2017-04-10,510,123
2017-04-11,527,127
2017-04-12,535,129
2017-04-13,554,142
